strategy,trades,win,avg_r,pf,ret,cagr,maxdd,mar
KA,1352,0.3224852071005917,0.34891060676490815,1.4599110085888223,8.191045949448382,0.15890898774096995,0.21916244666371282,0.7250739812409698
AX,921,0.3485342019543974,0.1532986692368566,1.2341822828553277,1.1008365110285245,0.05059239705350893,0.15691482573238602,0.32241948341957755
HF,634,0.30441640378548895,0.11239533504823356,1.1111636310120951,0.2820829529470439,0.01665781894557372,0.204941604416501,0.08128080675956935
QM,527,0.2808349146110057,0.009987694190384205,0.9315397406372562,-0.14133243476509116,-0.01007940865440815,0.2097400730361006,-0.048056666084374235
VB,1886,0.2916224814422057,-0.012959231265944133,0.9433970299520867,-0.42555410537227045,-0.03618501304743105,0.2459039054166326,-0.14715103034302415
PP,1421,0.33638282899366645,0.24070281736698723,0.7053049165339982,-0.6972199855514556,-0.07635999452847575,0.21660212374550256,-0.3525357609983326
OO,2654,0.37867370007535794,-0.10759903857857848,0.7592243057341084,-0.8880991245461496,-0.13550660148915683,0.22979978962575498,-0.5896724349044827
TS,1389,0.3506119510439165,-0.2203525155726533,0.6030001073341625,-0.9026860204129903,-0.14349714176678952,0.2275325874932294,-0.6306663293716532
